text,intent,
Consigo algum tipo de financiamento com nome restrito?,commercial,%
Tenho um imóvel minha casa minha vida no meu nome mas é da minha irmã É ela que paga. Preciso tirar do meu nome mas não sei como ainda.,change,%
queria saber se ainda tem lotes disponíveis,commercial,%
Eu ainda cnsigo pegar a chave hj msmoo,bias,%
Meus boletos atrasados,reissue,%
Obrigado,compliment,%
ta ok,bias,%
Boa tarde ! Kelly você poderia me tirar uma dúvida sobre a entrega das casas do porto sabia amanhã?,commercial,%
PRECISO DE INFORMAÇÕES,adsdasdasdasd,%
